,state,year,code,btu_per_person
130,UT,2020,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.15782516469335095
131,UT,2021,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.15521141657912296
132,VA,2019,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.1711092777475843
133,VA,2020,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.16475699917785788
134,VA,2021,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.1643734316790777
135,VT,2019,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.2847575018232653
136,VT,2020,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.2573973148182712
137,VT,2021,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.2557437648066043
138,WA,2019,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.17173486655296955
139,WA,2020,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.16045432196449613
140,WA,2021,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.1601047247970757
141,WI,2019,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.22016681165167018
142,WI,2020,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.20781877999559076
143,WI,2021,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.2084097933699752
144,WV,2019,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.22738587499783966
145,WV,2020,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.220460134787409
146,WV,2021,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.22123972622306468
147,WY,2019,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.2639091618271648
148,WY,2020,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.25239412530467537
149,WY,2021,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.25157364014714917
